,date,open,high,low,close,tick_volume,spread,real_volume
0,2002-01-01,0.8897,0.8913,0.8863,0.8895,566,50,0
1,2002-01-02,0.8896,0.9069,0.8883,0.9033,9726,50,0
2,2002-01-03,0.9032,0.9061,0.8974,0.8993,10100,50,0
3,2002-01-04,0.8992,0.9003,0.8938,0.8948,9387,50,0
4,2002-01-07,0.895,0.8998,0.8881,0.8934,9600,50,0
5,2002-01-08,0.8934,0.8939,0.8882,0.8933,9875,50,0
6,2002-01-09,0.8933,0.8954,0.8864,0.8912,9451,50,0
7,2002-01-10,0.8912,0.8941,0.89,0.8914,9056,50,0
8,2002-01-11,0.8914,0.8934,0.8895,0.8922,8679,50,0
9,2002-01-14,0.8945,0.8956,0.8914,0.8942,9560,50,0
10,2002-01-15,0.8942,0.8947,0.882,0.8836,9784,50,0
11,2002-01-16,0.8835,0.8847,0.8802,0.8836,9686,50,0
12,2002-01-17,0.8836,0.8854,0.8793,0.8812,9475,50,0
13,2002-01-18,0.8814,0.8853,0.8795,0.8845,8688,50,0
14,2002-01-21,0.884,0.8869,0.8824,0.8833,8420,50,0
15,2002-01-22,0.8834,0.8877,0.8811,0.8867,9779,50,0
16,2002-01-23,0.8864,0.8892,0.8765,0.8774,9736,50,0
17,2002-01-24,0.8774,0.8796,0.8752,0.8777,9454,50,0
18,2002-01-25,0.8777,0.8788,0.8631,0.8644,9663,50,0
19,2002-01-28,0.8645,0.8666,0.857,0.8619,10320,50,0
20,2002-01-29,0.8618,0.8661,0.8592,0.8652,9262,50,0
21,2002-01-30,0.8652,0.8677,0.8599,0.8623,9309,50,0
22,2002-01-31,0.8621,0.8647,0.8576,0.8592,9119,50,0
23,2002-02-01,0.8593,0.8644,0.8562,0.8622,8789,50,0
24,2002-02-04,0.8615,0.8713,0.8605,0.8698,8505,50,0
25,2002-02-05,0.8698,0.8734,0.8651,0.8673,8673,50,0
26,2002-02-06,0.8672,0.8708,0.8633,0.8673,8695,50,0
27,2002-02-07,0.867,0.8719,0.8645,0.8704,8574,50,0
28,2002-02-08,0.8703,0.8756,0.8699,0.8722,8198,50,0
29,2002-02-11,0.8708,0.8803,0.8705,0.8764,8441,50,0
30,2002-02-12,0.8767,0.8802,0.874,0.8765,8164,50,0
31,2002-02-13,0.8767,0.8772,0.8703,0.8716,8433,50,0
32,2002-02-14,0.8715,0.8749,0.868,0.8737,9269,50,0
33,2002-02-15,0.8741,0.8746,0.8694,0.873,8488,50,0
34,2002-02-18,0.8732,0.8744,0.8699,0.8708,7018,50,0
35,2002-02-19,0.8706,0.8784,0.8663,0.8763,8274,50,0
36,2002-02-20,0.8763,0.8785,0.8687,0.8698,8804,50,0
37,2002-02-21,0.8695,0.8722,0.8679,0.8704,8512,50,0
38,2002-02-22,0.8704,0.8779,0.868,0.8752,8655,50,0
39,2002-02-25,0.8753,0.8759,0.8687,0.869,8066,50,0
40,2002-02-26,0.8691,0.8724,0.8615,0.8637,8845,50,0
41,2002-02-27,0.8638,0.8669,0.8625,0.866,8801,50,0
42,2002-02-28,0.8661,0.8699,0.8623,0.8695,9183,50,0
43,2002-03-01,0.8693,0.8697,0.8629,0.8658,8907,50,0
44,2002-03-04,0.8647,0.8717,0.8631,0.8698,8653,50,0
45,2002-03-05,0.8699,0.8731,0.8648,0.8719,9111,50,0
46,2002-03-06,0.8717,0.8777,0.8693,0.8765,8851,50,0
47,2002-03-07,0.8764,0.8843,0.8739,0.8815,9974,50,0
48,2002-03-08,0.8815,0.8819,0.872,0.8734,9161,50,0
49,2002-03-11,0.8737,0.8774,0.8732,0.8752,7926,50,0
50,2002-03-12,0.8755,0.8768,0.8703,0.8757,8379,50,0
51,2002-03-13,0.8757,0.8786,0.8724,0.8756,8493,50,0
52,2002-03-14,0.8757,0.8845,0.8753,0.8826,9307,50,0
53,2002-03-15,0.8827,0.887,0.8807,0.883,8915,50,0
54,2002-03-18,0.8812,0.8833,0.8782,0.8824,8377,50,0
55,2002-03-19,0.8822,0.8847,0.8795,0.8819,8725,50,0
56,2002-03-20,0.882,0.8862,0.8787,0.8857,8622,50,0
57,2002-03-21,0.8856,0.8862,0.8805,0.8825,8579,50,0
58,2002-03-22,0.8828,0.883,0.8749,0.878,8364,50,0
59,2002-03-25,0.8773,0.8785,0.8752,0.8766,8498,50,0
60,2002-03-26,0.8768,0.8798,0.8731,0.8766,9340,50,0
61,2002-03-27,0.8767,0.8773,0.8719,0.8725,8799,50,0
62,2002-03-28,0.8724,0.8746,0.8698,0.8712,8949,50,0
63,2002-03-29,0.8714,0.8731,0.8704,0.8719,5372,50,0
64,2002-04-01,0.8716,0.8824,0.8714,0.8804,7661,50,0
65,2002-04-02,0.8806,0.8817,0.8772,0.8795,8819,50,0
66,2002-04-03,0.8794,0.8831,0.8774,0.8812,8538,50,0
67,2002-04-04,0.8809,0.8859,0.8764,0.8776,9317,50,0
68,2002-04-05,0.8776,0.8818,0.8772,0.8785,7746,50,0
69,2002-04-08,0.8791,0.8795,0.8735,0.8748,8109,50,0
70,2002-04-09,0.8749,0.8818,0.8733,0.8808,8970,50,0
71,2002-04-10,0.8811,0.8827,0.8786,0.8805,8811,50,0
72,2002-04-11,0.8806,0.885,0.8788,0.882,8642,50,0
73,2002-04-12,0.882,0.8829,0.8774,0.8809,8410,50,0
74,2002-04-15,0.8797,0.8826,0.8788,0.8795,7784,50,0
75,2002-04-16,0.8795,0.8842,0.8789,0.8824,8239,50,0
76,2002-04-17,0.8823,0.8913,0.8817,0.8904,9116,50,0
77,2002-04-18,0.8905,0.8922,0.8856,0.8908,9333,50,0
78,2002-04-19,0.8907,0.8929,0.8878,0.8922,8133,50,0
79,2002-04-22,0.8894,0.8909,0.8867,0.8896,8041,50,0
80,2002-04-23,0.8895,0.8906,0.8858,0.8887,7457,50,0
81,2002-04-24,0.8886,0.8934,0.8873,0.8927,8157,50,0
82,2002-04-25,0.8925,0.8994,0.8915,0.8977,8741,50,0
83,2002-04-26,0.8976,0.9026,0.896,0.9015,8403,50,0
84,2002-04-29,0.9013,0.9049,0.9007,0.9032,7971,50,0
85,2002-04-30,0.9032,0.9045,0.8988,0.9005,8079,50,0
86,2002-05-01,0.9005,0.9089,0.899,0.9063,7840,50,0
87,2002-05-02,0.9063,0.9083,0.901,0.903,8282,50,0
88,2002-05-03,0.9031,0.9178,0.9024,0.9173,8721,50,0
89,2002-05-06,0.9164,0.9188,0.9133,0.9179,7816,50,0
90,2002-05-07,0.9181,0.9193,0.9114,0.9143,9154,50,0
91,2002-05-08,0.9144,0.9147,0.9036,0.9049,8743,50,0
92,2002-05-09,0.9049,0.9116,0.9037,0.9097,8544,50,0
93,2002-05-10,0.9097,0.9153,0.9084,0.914,8917,50,0
94,2002-05-13,0.9129,0.9171,0.9094,0.9121,8426,50,0
95,2002-05-14,0.912,0.9123,0.901,0.903,8727,50,0
96,2002-05-15,0.9028,0.913,0.8994,0.9122,9334,50,0
97,2002-05-16,0.9121,0.9144,0.9085,0.9118,8359,50,0
98,2002-05-17,0.9117,0.9224,0.9112,0.9211,9437,50,0
99,2002-05-20,0.9206,0.9232,0.918,0.9208,8414,50,0
100,2002-05-21,0.9207,0.9223,0.9161,0.9194,9574,50,0
101,2002-05-22,0.9193,0.928,0.9179,0.9259,10163,50,0
102,2002-05-23,0.9258,0.9273,0.918,0.9214,9443,50,0
103,2002-05-24,0.9215,0.9233,0.9161,0.9203,8750,50,0
104,2002-05-27,0.9205,0.9226,0.9182,0.9209,7755,50,0
105,2002-05-28,0.9211,0.9311,0.9197,0.9286,9025,50,0
106,2002-05-29,0.9285,0.9372,0.9271,0.9354,9628,50,0
107,2002-05-30,0.9354,0.9416,0.9347,0.9366,9733,50,0
108,2002-05-31,0.9366,0.9402,0.9283,0.9337,9048,50,0
109,2002-06-03,0.933,0.9423,0.9302,0.9405,8787,50,0
110,2002-06-04,0.9406,0.9455,0.9387,0.9392,9416,50,0
111,2002-06-05,0.9392,0.942,0.9351,0.9393,9144,50,0
112,2002-06-06,0.9392,0.9482,0.9336,0.9472,9261,50,0
113,2002-06-07,0.9474,0.949,0.9426,0.9426,9574,50,0
114,2002-06-10,0.9431,0.9484,0.9387,0.9441,8381,50,0
115,2002-06-11,0.9441,0.9497,0.9403,0.9481,8949,50,0
116,2002-06-12,0.9482,0.9508,0.9425,0.9433,9241,50,0
117,2002-06-13,0.9435,0.9477,0.9395,0.943,9036,50,0
118,2002-06-14,0.9431,0.9524,0.9413,0.9454,9295,50,0
119,2002-06-17,0.9451,0.9469,0.9411,0.9446,8368,50,0
120,2002-06-18,0.9447,0.9528,0.9435,0.9526,9627,50,0
121,2002-06-19,0.9528,0.9582,0.9515,0.9573,9230,50,0
122,2002-06-20,0.9577,0.9669,0.9556,0.9644,9045,50,0
123,2002-06-21,0.9645,0.9722,0.963,0.9705,8922,50,0
124,2002-06-24,0.9699,0.9817,0.9678,0.9705,9413,50,0
125,2002-06-25,0.9705,0.9803,0.9661,0.9793,10109,50,0
126,2002-06-26,0.9794,0.9947,0.9786,0.9824,11389,50,0
127,2002-06-27,0.9824,0.9902,0.9808,0.9882,10186,50,0
128,2002-06-28,0.9878,0.9992,0.9837,0.9911,10367,50,0
129,2002-07-01,0.9914,0.9973,0.9861,0.9913,9002,50,0
130,2002-07-02,0.9912,0.9922,0.9797,0.9864,9648,50,0
131,2002-07-03,0.9863,0.9864,0.9767,0.9805,9228,50,0
132,2002-07-04,0.9803,0.982,0.9749,0.9788,9039,50,0
133,2002-07-05,0.9786,0.9788,0.9714,0.973,8972,50,0
134,2002-07-08,0.9745,0.9917,0.9741,0.9911,9978,50,0
135,2002-07-09,0.9906,0.9956,0.9871,0.993,9925,50,0
136,2002-07-10,0.993,0.9971,0.9858,0.989,10078,50,0
137,2002-07-11,0.9891,0.9941,0.9832,0.9879,9898,50,0
138,2002-07-12,0.9879,0.9926,0.985,0.9906,9545,50,0
139,2002-07-15,0.9916,1.0091,0.9913,1.0033,9650,50,0
140,2002-07-16,1.0036,1.015,1.0031,1.0124,10783,50,0
141,2002-07-17,1.0124,1.0164,1.0032,1.0068,10904,50,0
142,2002-07-18,1.0069,1.0122,1.0039,1.0121,10073,50,0
143,2002-07-19,1.0119,1.021,1.0102,1.0117,10716,50,0
144,2002-07-22,1.0112,1.0135,1.0054,1.0079,10635,50,0
145,2002-07-23,1.0077,1.0081,0.9844,0.9891,10701,50,0
146,2002-07-24,0.9895,0.9983,0.9873,0.9952,10230,50,0
147,2002-07-25,0.9953,1.0064,0.9939,1.0037,9117,50,0
148,2002-07-26,1.0035,1.007,0.9852,0.9859,10547,50,0
149,2002-07-29,0.9873,0.9891,0.977,0.9811,10098,50,0
150,2002-07-30,0.9812,0.9894,0.9778,0.9832,9530,50,0
151,2002-07-31,0.9832,0.9857,0.9759,0.9774,9837,50,0
152,2002-08-01,0.9772,0.9859,0.9726,0.9844,9706,50,0
153,2002-08-02,0.9846,0.9919,0.9835,0.9859,10502,50,0
154,2002-08-05,0.9865,0.9876,0.9795,0.9801,9723,50,0
155,2002-08-06,0.9805,0.9808,0.9621,0.9661,10720,50,0
156,2002-08-07,0.9664,0.9765,0.9642,0.9746,10036,50,0
157,2002-08-08,0.9746,0.9774,0.964,0.967,10306,50,0
158,2002-08-09,0.9668,0.9742,0.9653,0.9698,9709,50,0
159,2002-08-12,0.9702,0.9801,0.9689,0.9786,10094,50,0
160,2002-08-13,0.9786,0.9849,0.9752,0.9846,9632,50,0
161,2002-08-14,0.9846,0.9894,0.9763,0.9773,10092,50,0
162,2002-08-15,0.9772,0.985,0.9746,0.9825,9358,50,0
163,2002-08-16,0.9824,0.9871,0.9783,0.987,8795,50,0
164,2002-08-19,0.9844,0.9873,0.975,0.9773,8714,50,0
165,2002-08-20,0.9775,0.9809,0.973,0.9777,9202,50,0
166,2002-08-21,0.9783,0.9851,0.9751,0.9799,9104,50,0
167,2002-08-22,0.98,0.9808,0.9671,0.9692,9026,50,0
168,2002-08-23,0.9691,0.9735,0.9664,0.9724,8813,50,0
169,2002-08-26,0.9732,0.9742,0.9684,0.9717,8413,50,0
170,2002-08-27,0.9714,0.9842,0.9702,0.9829,7550,50,0
171,2002-08-28,0.9829,0.9837,0.978,0.9787,8894,50,0
172,2002-08-29,0.9787,0.9888,0.9773,0.9837,8943,50,0
173,2002-08-30,0.9836,0.9866,0.9793,0.9815,8530,50,0
174,2002-09-02,0.9824,0.9857,0.9796,0.9847,8329,50,0
175,2002-09-03,0.9833,0.9977,0.983,0.9967,8721,50,0
176,2002-09-04,0.9966,0.9975,0.9903,0.9923,8977,50,0
177,2002-09-05,0.9923,0.9993,0.9886,0.9916,9406,50,0
178,2002-09-06,0.9915,0.9957,0.9804,0.9808,9936,50,0
179,2002-09-09,0.9817,0.9831,0.978,0.9797,8828,50,0
180,2002-09-10,0.9797,0.9844,0.9721,0.9751,9107,50,0
181,2002-09-11,0.975,0.9771,0.9698,0.9759,9180,50,0
182,2002-09-12,0.9761,0.9825,0.9739,0.9814,10341,50,0
183,2002-09-13,0.9811,0.9841,0.9702,0.9713,10240,50,0
184,2002-09-16,0.9708,0.973,0.9664,0.9687,9991,50,0
185,2002-09-17,0.9688,0.9751,0.9608,0.9736,10600,50,0
186,2002-09-18,0.9737,0.9798,0.9685,0.9772,9958,50,0
187,2002-09-19,0.9768,0.9876,0.9762,0.9874,10676,50,0
188,2002-09-20,0.9872,0.9878,0.9783,0.9826,9211,50,0
189,2002-09-23,0.9808,0.9859,0.9751,0.978,9047,50,0
190,2002-09-24,0.978,0.984,0.9759,0.9824,9619,50,0
191,2002-09-25,0.9826,0.9856,0.9755,0.9767,10031,50,0
192,2002-09-26,0.9764,0.9812,0.9727,0.9769,9411,50,0
193,2002-09-27,0.977,0.9813,0.9748,0.9792,8801,50,0
194,2002-09-30,0.9811,0.9901,0.9805,0.9865,9001,50,0
195,2002-10-01,0.9866,0.9895,0.9821,0.9826,8705,50,0
196,2002-10-02,0.9823,0.9873,0.9809,0.9862,8891,50,0
197,2002-10-03,0.9864,0.9912,0.9857,0.9874,9007,50,0
198,2002-10-04,0.9875,0.9884,0.9781,0.9794,8356,50,0
199,2002-10-07,0.9788,0.9841,0.9777,0.9825,8501,50,0
200,2002-10-08,0.9825,0.9846,0.9765,0.9795,8721,50,0
201,2002-10-09,0.9792,0.9915,0.9778,0.9901,9953,50,0
202,2002-10-10,0.9901,0.9931,0.9847,0.9863,9951,50,0
203,2002-10-11,0.9866,0.9882,0.9833,0.9875,7614,50,0
204,2002-10-14,0.9874,0.9895,0.9854,0.9875,7636,50,0
205,2002-10-15,0.9875,0.9889,0.9791,0.9816,9793,50,0
206,2002-10-16,0.9819,0.9838,0.9798,0.9811,9895,50,0
