,date,open,high,low,close,tick_volume,spread,real_volume
0,2002-01-01,191.54,191.62,190.8,191.36,598,150,0
1,2002-01-02,191.33,192.06,190.22,191.07,11080,150,0
2,2002-01-03,191.19,191.19,189.07,189.66,11640,150,0
3,2002-01-04,189.72,189.83,187.93,189.71,11685,150,0
4,2002-01-07,189.4,189.51,187.95,188.86,11177,150,0
5,2002-01-08,188.84,191.39,188.66,191.19,14436,150,0
6,2002-01-09,191.18,192.08,190.06,191.42,12196,150,0
7,2002-01-10,191.46,191.75,190.0,190.25,12267,150,0
8,2002-01-11,190.23,191.59,189.79,191.49,11152,150,0
9,2002-01-14,191.34,191.54,190.5,191.03,10391,150,0
10,2002-01-15,191.12,191.24,188.68,188.98,11129,150,0
11,2002-01-16,188.98,190.19,188.44,190.16,11024,150,0
12,2002-01-17,190.11,190.5,188.66,190.25,13015,150,0
13,2002-01-18,190.24,191.13,190.0,190.53,12093,150,0
14,2002-01-21,190.44,190.76,190.04,190.71,8284,150,0
15,2002-01-22,190.8,192.16,190.35,191.18,12936,150,0
16,2002-01-23,191.16,192.31,190.87,191.7,9023,150,0
17,2002-01-24,191.67,192.3,190.62,191.94,11556,150,0
18,2002-01-25,192.19,192.35,188.78,189.27,11925,150,0
19,2002-01-28,189.96,190.2,187.32,188.16,10268,150,0
20,2002-01-29,188.12,189.07,186.9,188.73,12519,150,0
21,2002-01-30,188.67,188.97,187.28,187.88,12512,150,0
22,2002-01-31,187.88,190.79,187.25,190.04,13125,150,0
23,2002-02-01,190.01,190.34,188.25,188.43,12628,150,0
24,2002-02-04,188.57,189.13,187.7,188.21,10373,150,0
25,2002-02-05,188.18,190.17,187.73,189.5,11216,150,0
26,2002-02-06,189.56,190.06,188.33,188.97,11331,150,0
27,2002-02-07,188.9,189.5,188.01,189.1,11663,150,0
28,2002-02-08,189.14,191.4,188.57,190.49,12923,150,0
29,2002-02-11,190.66,191.22,189.34,189.73,10481,150,0
30,2002-02-12,189.69,190.97,189.41,190.06,12210,150,0
31,2002-02-13,190.05,191.0,189.22,190.25,11318,150,0
32,2002-02-14,190.22,190.33,188.37,188.98,10894,150,0
33,2002-02-15,189.04,190.51,188.59,189.95,11909,150,0
34,2002-02-18,189.97,190.31,189.3,189.6,5831,150,0
35,2002-02-19,189.53,191.5,189.31,191.35,7843,150,0
36,2002-02-20,191.34,191.44,190.42,190.86,8246,150,0
37,2002-02-21,190.9,191.72,190.07,191.45,10824,150,0
38,2002-02-22,191.49,192.33,190.91,192.17,10681,150,0
39,2002-02-25,192.01,192.12,190.54,190.89,9163,150,0
40,2002-02-26,190.84,191.77,190.34,190.83,10909,150,0
41,2002-02-27,190.72,191.39,190.18,190.57,10844,150,0
42,2002-02-28,190.63,190.78,188.75,188.9,10040,150,0
43,2002-03-01,188.93,190.24,188.73,189.24,8993,150,0
44,2002-03-04,189.51,189.54,187.12,187.92,10521,150,0
45,2002-03-05,187.95,188.74,186.91,188.31,9718,150,0
46,2002-03-06,188.29,188.5,185.72,185.92,10526,150,0
47,2002-03-07,185.92,186.33,180.12,182.25,13239,150,0
48,2002-03-08,182.42,183.13,181.52,183.03,13770,150,0
49,2002-03-11,182.95,183.63,181.67,182.07,9874,150,0
50,2002-03-12,182.04,183.03,181.52,182.85,9676,150,0
51,2002-03-13,182.9,183.55,182.15,183.15,11307,150,0
52,2002-03-14,183.23,183.7,182.07,183.57,12042,150,0
53,2002-03-15,183.53,184.24,183.22,183.81,10343,150,0
54,2002-03-18,184.06,187.48,183.92,187.26,12089,150,0
55,2002-03-19,187.25,188.53,186.67,188.05,11675,150,0
56,2002-03-20,188.03,188.43,186.69,187.92,12818,150,0
57,2002-03-21,187.89,188.91,187.4,188.34,9508,150,0
58,2002-03-22,188.32,189.72,188.21,189.57,10770,150,0
59,2002-03-25,189.19,190.39,188.87,190.2,10554,150,0
60,2002-03-26,190.18,190.35,188.76,189.87,11567,150,0
61,2002-03-27,189.82,190.14,188.44,188.95,13754,150,0
62,2002-03-28,188.95,189.35,188.16,189.27,12042,150,0
63,2002-03-29,189.2,189.79,188.61,189.26,7786,150,0
64,2002-04-01,189.53,192.57,189.38,192.12,11527,150,0
65,2002-04-02,192.02,192.38,191.19,191.26,11739,150,0
66,2002-04-03,191.24,191.43,190.22,190.57,8876,150,0
67,2002-04-04,190.59,191.17,189.33,189.72,9972,150,0
68,2002-04-05,189.78,189.94,188.41,188.43,8348,150,0
69,2002-04-08,188.51,189.05,187.49,188.42,9255,150,0
70,2002-04-09,188.44,188.82,187.45,187.62,10702,150,0
71,2002-04-10,187.58,188.05,187.23,187.78,9254,150,0
