,date,open,high,low,close,tick_volume,spread,real_volume
0,2002-01-01,278.2,278.7,276.7,278.7,351,0,0
1,2002-01-02,278.2,278.95,277.35,278.5,291,0,0
2,2002-01-03,278.0,279.75,276.55,278.2,621,0,0
3,2002-01-04,277.55,279.15,276.8,278.7,356,0,0
4,2002-01-07,277.9,280.01,276.9,278.5,563,0,0
5,2002-01-08,278.0,279.5,277.75,278.8,271,0,0
6,2002-01-09,278.3,284.15,278.2,283.95,626,0,0
7,2002-01-10,283.1,289.0,282.3,286.15,1036,0,0
8,2002-01-11,285.65,287.65,285.15,287.3,336,0,0
9,2002-01-14,286.1,286.85,284.35,284.9,381,0,0
10,2002-01-15,284.5,285.0,282.55,284.4,481,0,0
11,2002-01-16,283.9,289.0,283.05,286.9,891,0,0
12,2002-01-17,286.65,288.35,283.55,283.8,676,0,0
13,2002-01-18,283.3,284.3,282.45,283.3,371,0,0
14,2002-01-21,282.8,283.55,281.5,282.3,361,0,0
15,2002-01-22,281.8,283.55,280.5,281.35,566,0,0
16,2002-01-23,280.9,282.5,278.15,279.0,681,0,0
17,2002-01-24,278.5,279.35,277.35,279.0,351,0,0
18,2002-01-25,278.25,279.2,277.75,279.2,196,0,0
19,2002-01-28,278.7,279.4,277.95,278.5,271,0,0
20,2002-01-29,277.9,281.7,276.6,281.7,641,0,0
21,2002-01-30,281.2,283.5,279.2,281.7,811,0,0
22,2002-01-31,281.2,282.95,280.75,282.95,266,0,0
23,2002-02-01,282.2,286.7,281.45,286.0,671,0,0
24,2002-02-04,285.25,291.6,284.9,291.6,706,0,0
25,2002-02-05,289.6,298.5,289.1,297.3,1111,0,0
26,2002-02-06,296.95,306.5,295.5,296.5,2156,0,0
27,2002-02-07,296.38,303.0,296.38,303.0,663,0,0
28,2002-02-08,301.0,308.3,299.6,303.5,1491,0,0
29,2002-02-11,303.0,304.8,297.1,299.0,1141,0,0
30,2002-02-12,298.5,301.75,296.9,300.0,821,0,0
31,2002-02-13,299.5,300.4,295.1,299.25,1036,0,0
32,2002-02-14,298.75,300.2,297.4,299.7,466,0,0
33,2002-02-15,298.9,301.8,297.4,297.6,751,0,0
34,2002-02-18,298.0,298.88,296.38,297.5,451,0,0
35,2002-02-19,297.0,298.35,292.0,292.85,856,0,0
36,2002-02-20,292.35,293.9,290.3,291.2,606,0,0
37,2002-02-21,290.7,293.5,289.55,292.5,611,0,0
38,2002-02-22,292.0,294.12,291.1,292.5,555,0,0
39,2002-02-25,292.25,292.8,290.4,292.3,476,0,0
40,2002-02-26,291.8,297.55,291.68,297.5,605,0,0
41,2002-02-27,297.0,299.12,295.15,296.1,705,0,0
42,2002-02-28,296.1,297.55,295.4,296.3,411,0,0
43,2002-03-01,295.8,299.05,294.75,297.9,651,0,0
44,2002-03-04,297.1,299.62,296.35,296.6,605,0,0
45,2002-03-05,296.1,299.0,293.55,294.05,886,0,0
46,2002-03-06,293.3,294.55,292.1,293.25,486,0,0
47,2002-03-07,292.65,293.15,289.05,289.3,486,0,0
48,2002-03-08,288.8,289.85,287.4,289.5,421,0,0
49,2002-03-11,289.35,293.45,288.9,290.95,751,0,0
50,2002-03-12,290.45,295.15,290.0,294.1,666,0,0
51,2002-03-13,293.1,294.4,292.45,293.1,391,0,0
52,2002-03-14,292.6,293.3,290.05,291.0,491,0,0
53,2002-03-15,290.5,291.15,288.85,289.8,391,0,0
54,2002-03-18,289.8,293.38,289.5,292.8,477,0,0
55,2002-03-19,291.8,293.55,291.35,292.95,326,0,0
56,2002-03-20,292.45,292.8,291.2,292.1,286,0,0
57,2002-03-21,291.6,293.15,291.6,292.9,181,0,0
58,2002-03-22,292.9,298.38,292.6,298.0,647,0,0
59,2002-03-25,296.9,298.3,296.6,298.1,221,0,0
60,2002-03-26,297.25,297.75,295.35,296.5,406,0,0
